DATE_TIME,DPTemp,DBTemp,Precip,RHumid
2013-01-12T23:59:00,,0,0.00,0
2013-01-13T00:53:00,57,63,0.00,81
2013-01-13T01:53:00,58,63,0.00,84
2013-01-13T02:53:00,59,63,0.00,87
2013-01-13T03:05:00,59,63,0.00,88
2013-01-13T03:53:00,60,63,0.00,90
2013-01-13T04:32:00,61,63,0.00,94
2013-01-13T04:53:00,60,62,0.00,93
2013-01-13T05:00:00,61,63,0.00,94
2013-01-13T05:53:00,60,63,0.00,90
2013-01-13T06:01:00,61,63,0.00,94
2013-01-13T06:23:00,61,63,0.00,94
2013-01-13T06:31:00,61,63,0.00,94
2013-01-13T06:53:00,60,63,0.00,90
2013-01-13T07:53:00,61,63,0.00,93
2013-01-13T08:53:00,61,64,0.00,90
2013-01-13T09:00:00,61,64,0.00,88
2013-01-13T09:53:00,60,64,0.00,87
2013-01-13T10:53:00,60,65,0.00,84
2013-01-13T11:53:00,60,67,0.00,79
2013-01-13T12:53:00,59,69,0.00,70
2013-01-13T13:29:00,59,70,0.00,69
2013-01-13T13:53:00,59,72,0.00,64
2013-01-13T14:53:00,59,71,0.00,66
2013-01-13T15:53:00,59,72,0.00,64
2013-01-13T16:53:00,59,72,0.00,64
2013-01-13T17:53:00,59,71,0.00,66
2013-01-13T18:53:00,60,70,0.00,71
2013-01-13T19:53:00,60,70,0.00,71
2013-01-13T20:53:00,60,69,0.00,73
2013-01-13T21:53:00,60,69,0.00,73
2013-01-13T22:53:00,62,66,0.03,87
2013-01-13T23:09:00,61,66,0.00,83
2013-01-13T23:53:00,62,65,0.03,90
2013-01-13T23:59:00,,0,0.00,0
2013-01-14T00:37:00,63,64,0.12,94
2013-01-14T00:49:00,63,64,0.16,94
2013-01-14T00:50:00,63,64,0.15,96
2013-01-14T01:28:00,63,64,0.02,94
2013-01-14T01:35:00,63,64,0.02,94
2013-01-14T01:53:00,63,64,0.03,96
2013-01-14T02:13:00,63,64,0.00,94
2013-01-14T02:46:00,63,64,0.01,94
2013-01-14T02:53:00,63,64,0.01,96
2013-01-14T03:53:00,63,65,0.01,93
2013-01-14T04:53:00,63,65,0.00,93
2013-01-14T05:53:00,64,65,0.01,97
2013-01-14T06:53:00,64,65,0.07,97
2013-01-14T07:00:00,64,64,0.01,100
2013-01-14T07:32:00,64,64,0.03,100
2013-01-14T07:51:00,64,64,0.00,100
2013-01-14T07:53:00,64,65,0.03,97
2013-01-14T08:31:00,64,66,0.03,94
2013-01-14T08:44:00,64,66,0.05,94
2013-01-14T08:53:00,62,64,0.07,93
2013-01-14T09:51:00,54,54,0.00,100
2013-01-14T09:53:00,53,54,0.13,97
2013-01-14T10:51:00,48,52,0.00,88
2013-01-14T10:53:00,49,51,0.18,92
2013-01-14T11:51:00,50,52,0.00,94
2013-01-14T11:53:00,50,51,0.03,96
2013-01-14T12:53:00,50,51,0.01,96
2013-01-14T13:53:00,51,53,0.00,93
2013-01-14T14:53:00,52,54,0.00,93
2013-01-14T15:53:00,52,54,0.00,93
2013-01-14T16:53:00,52,54,0.00,93
2013-01-14T17:53:00,52,54,0.00,93
2013-01-14T18:53:00,50,52,0.00,93
2013-01-14T19:11:00,48,52,0.00,88
2013-01-14T19:53:00,47,49,0.00,93
2013-01-14T20:48:00,45,46,0.00,93
2013-01-14T20:53:00,46,47,0.00,97
2013-01-14T21:53:00,45,47,0.01,93
2013-01-14T22:03:00,46,46,0.00,100
2013-01-14T22:53:00,45,47,0.01,93
2013-01-14T23:43:00,45,48,0.00,87
2013-01-14T23:53:00,45,48,0.00,89
2013-01-14T23:59:00,,0,0.00,0
2013-01-15T00:53:00,46,48,0.00,93
2013-01-15T01:08:00,46,48,0.00,94
2013-01-15T01:49:00,46,48,0.00,94
2013-01-15T01:53:00,46,48,0.00,93
2013-01-15T02:30:00,46,48,0.00,94
2013-01-15T02:42:00,46,48,0.00,94
2013-01-15T02:53:00,46,48,0.00,93
2013-01-15T03:40:00,46,48,0.00,94
2013-01-15T03:53:00,47,49,0.00,93
2013-01-15T04:03:00,46,48,0.00,94
2013-01-15T04:53:00,47,49,0.00,93
2013-01-15T05:53:00,48,50,0.00,93
2013-01-15T06:53:00,49,50,0.00,96
2013-01-15T07:51:00,48,50,0.00,94
2013-01-15T07:53:00,48,50,0.12,93
2013-01-15T08:53:00,49,50,0.16,96
2013-01-15T09:51:00,50,50,0.00,100
2013-01-15T09:53:00,50,50,0.11,100
2013-01-15T10:00:00,50,52,0.00,94
2013-01-15T10:53:00,49,50,0.02,96
2013-01-15T11:00:00,48,50,0.00,94
2013-01-15T11:27:00,50,52,0.01,94
2013-01-15T11:51:00,48,50,0.03,94
2013-01-15T11:53:00,49,50,0.03,96
2013-01-15T12:00:00,48,50,0.00,94
2013-01-15T12:53:00,49,50,0.07,96
2013-01-15T13:53:00,50,51,0.02,96
2013-01-15T14:00:00,50,52,0.00,94
